  Elapsed (sec)    Frequency (MHz)    Usage (%)    Core0:Usage (%)    Core1:Usage (%)    Core2:Usage (%)    Core3:Usage (%)    Core4:Usage (%)    Core5:Usage (%)    Core6:Usage (%)    Core7:Usage (%)  Event
---------------  -----------------  -----------  -----------------  -----------------  -----------------  -----------------  -----------------  -----------------  -----------------  -----------------  -----------------
           0.33               2900        51.90              94.10              11.40              94.10              11.80              91.40              11.80              88.20              11.80  -
           0.49               2900        69.40              88.20              58.80              94.10              47.10              88.20              43.80              94.10              37.50  start train()
           0.61               2900        68.50              90.90              54.50              90.90              41.70              91.70              50.00              90.90              41.70  epoch 0: train
           0.74               2900        71.00              92.90              50.00              92.90              53.80              90.90              50.00              91.70              41.70  -
           0.86               2900        70.00              91.70              50.00              91.70              50.00              92.30              46.20              92.30              46.20  -
           0.98               2900        71.40             100.00              53.80             100.00              53.80              91.70              50.00              84.60              41.70  -
           1.10               2900        69.40              83.30              61.50              84.60              45.50              92.30              50.00              91.70              41.70  -
           1.23               2900        72.30              92.30              50.00             100.00              53.80              91.70              53.80              92.30              46.20  -
           1.36               2900        72.40              91.70              58.30              92.30              50.00              92.30              50.00              90.90              53.80  -
           1.48               2900        72.70              91.70              58.30              91.70              53.80              91.70              61.50              85.70              45.50  -
           1.60               2900        68.60              91.70              57.10              85.70              50.00              91.70              46.20              91.70              42.90  -
           1.73               2900        70.00              93.30              53.80              92.30              57.10              86.70              46.20              84.60              38.50  -
           1.87               2900        69.10              91.70              50.00              91.70              50.00             100.00              46.20              84.60              38.50  -
           1.99               2900        71.80              92.30              61.50              92.90              53.80              85.70              50.00              92.30              45.50  -
           2.12               2900        69.40              91.70              50.00              90.90              50.00              91.70              46.20              91.70              46.20  -
           2.24               2900        68.30              84.60              53.80              92.30              46.20              83.30              50.00              91.70              46.20  -
           2.37               2900        66.30              92.30              41.70              84.60              41.70              92.90              41.70              92.30              33.30  -
           2.49               2900        67.70              90.90              41.70             100.00              50.00              81.80              50.00              91.70              41.70  -
           2.61               2900        65.70              92.30              41.70              91.70              38.50              91.70              33.30              91.70              46.20  -
           2.73               2900        66.30              90.90              46.20              91.70              41.70              92.30              46.20              83.30              41.70  -
           2.86               2900        67.60              92.30              50.00              84.60              46.20              83.30              53.80              84.60              46.20  -
           2.98               2900        72.20              91.70              53.80             100.00              54.50              91.70              50.00              92.30              41.70  -
           3.10               2900        72.50              92.30              53.80              92.30              53.80              92.30              50.00              91.70              53.80  -
           3.23               2900        74.80              92.30              61.50              92.90              53.80              92.90              57.10              92.30              53.80  -
           3.38               2900        71.40              93.30              46.20              84.60              53.30              92.90              50.00              92.90              57.10  -
           3.50               2900        69.90              91.70              46.20              92.90              46.20              91.70              53.80              92.30              46.20  -
           3.63               2900         0.00              91.70              33.30             100.00              41.70              92.30              41.70              91.70              53.80  -
           3.76               2900         0.00              92.30              38.50              85.70              33.30              91.70              41.70              84.60              36.40  -
           3.88               2900         0.00              92.30              41.70             100.00              41.70              92.30              41.70              91.70              46.20  -
           4.00               2900         0.00             100.00              38.50              91.70              41.70              83.30              41.70              90.90              41.70  -
           4.12               2900        66.90              92.30              45.50              91.70              50.00              90.90              41.70              92.30              41.70  -
           4.24               2900        68.00              92.30              46.20              92.30              46.20              91.70              46.20              84.60              46.20  -
           4.36               2900        67.00              90.90              50.00              83.30              50.00              91.70              41.70              91.70              36.40  -
           4.49               2900        72.00              91.70              50.00              92.30              53.80              92.30              53.80              91.70              50.00  -
           4.61               2900        69.40              92.30              53.80              91.70              45.50              91.70              41.70              91.70              46.20  -
           4.73               2900        73.50             100.00              58.30              91.70              53.80              92.30              58.30              84.60              50.00  -
           4.86               2900         0.00              92.30              61.50              91.70              61.50              92.30              50.00              92.30              46.20  -
           4.99               2900         0.00              85.70              58.30              92.90              53.80              92.30              50.00              92.30              46.20  -
           5.11               2900         0.00              91.70              58.30              91.70              50.00              91.70              50.00              91.70              41.70  -
           5.24               2900        72.00              92.30              57.10              91.70              53.80              91.70              50.00              91.70              46.20  -
           5.36               2900        70.00              91.70              58.30              92.30              50.00              91.70              50.00              91.70              38.50  -
           5.48               2900        69.70              91.70              50.00              92.30              50.00              84.60              53.80              83.30              50.00  -
           5.61               2900        78.40              92.30              66.70             100.00              58.30              91.70              61.50              92.30              63.60  -
           5.73               2900        74.00              90.90              61.50              91.70              53.80             100.00              50.00              91.70              46.20  -
           5.85               2900        68.60              92.30              50.00              91.70              50.00              83.30              50.00              92.30              46.20  -
           5.98               2900        71.70              91.70              61.50              92.30              50.00              92.30              46.20              91.70              41.70  -
           6.11               2900        68.30              92.30              50.00              91.70              46.20              92.30              50.00              84.60              41.70  -
           6.23               2900        68.00              83.30              50.00              91.70              53.80              84.60              46.20              92.30              41.70  -
           6.35               2900        70.40              92.30              53.80              84.60              58.30             100.00              50.00              90.90              38.50  -
           6.48               2900        72.30              91.70              66.70              92.30              53.80              84.60              53.80              91.70              46.20  -
           6.60               2900        73.70             100.00              53.80              91.70              58.30              91.70              50.00              92.30              53.80  -
           6.73               2900        71.00              84.60              61.50              92.30              50.00              84.60              58.30              91.70              41.70  -
           6.85               2900        67.90              92.90              46.20              92.30              53.30              92.90              42.90              86.70              35.70  -
           6.99               2900        66.30              83.30              46.20              92.30              38.50              92.30              50.00              84.60              46.20  -
           7.12               2900        66.30              92.30              46.20              84.60              41.70              91.70              36.40              91.70              41.70  -
           7.24               2900        70.40              92.30              50.00              91.70              58.30              91.70              46.20              91.70              41.70  -
           7.36               2900        70.80             100.00              50.00              91.70              50.00              92.30              45.50              84.60              50.00  -
           7.48               2900        68.70              84.60              50.00              92.30              50.00              91.70              46.20              83.30              50.00  -
           7.61               2900        67.70              91.70              41.70             100.00              41.70              91.70              46.20              91.70              38.50  -
           7.73               2900        68.70             100.00              53.80              91.70              53.80              91.70              41.70              83.30              41.70  -
           7.85               2900        67.30              92.30              50.00              84.60              50.00              84.60              41.70              90.90              41.70  -
           7.98               2900         0.00              91.70              53.80              92.30              50.00              91.70              50.00              85.70              38.50  -
           8.10               2900         0.00              92.30              58.30             100.00              50.00              92.30              50.00              91.70              41.70  -
           8.23               2900         0.00              91.70              53.80              86.70              57.10              83.30              57.10              92.30              46.20  -
           8.35               2900        70.30              92.30              53.80              91.70              50.00              92.90              46.20              84.60              46.20  -
           8.49               2900        69.30              92.30              53.80             100.00              45.50              91.70              41.70              84.60              38.50  -
           8.61               2900        71.90              91.70              54.50              91.70              50.00              92.30              53.80             100.00              41.70  -
           8.74               2900        68.20              92.90              50.00              91.70              50.00              92.30              46.20              76.90              46.20  -
           8.86               2900        70.70              84.60              54.50              92.30              50.00              91.70              53.80              92.30              41.70  -
           8.99               2900         0.00              91.70              57.10              91.70              61.50              84.60              50.00              92.30              46.20  -
           9.12               2900         0.00              91.70              53.80              92.30              50.00              91.70              46.20              91.70              38.50  -
           9.24               2900         0.00              91.70              50.00              92.30              46.20              92.30              50.00              83.30              41.70  -
           9.36               2900        69.40              91.70              53.80              91.70              53.80              83.30              41.70              91.70              41.70  -
           9.49               2900        68.30              85.70              58.30              84.60              50.00              91.70              41.70              92.30              38.50  -
           9.61               2900        70.30              91.70              50.00              91.70              53.80              91.70              50.00              84.60              53.80  -
           9.74               2900        71.40              91.70              61.50              91.70              54.50              85.70              50.00              91.70              41.70  -
           9.86               2900        73.40              92.30              54.50              91.70              53.80              90.00              54.50             100.00              50.00  -
           9.99               2900        69.20              83.30              57.10              92.30              53.80              93.30              46.20              84.60              42.90  -
          10.12               2900        69.90              92.90              58.30              85.70              46.20              83.30              46.20             100.00              41.70  -
          10.24               2900         0.00              91.70              50.00              91.70              54.50              92.30              50.00              83.30              36.40  -
          10.36               2900        70.50             100.00              53.80             100.00              57.10              92.30              50.00              84.60              42.90  -
          10.49               2900        70.10              91.70              58.30              92.30              50.00              91.70              41.70              91.70              41.70  -
          10.62               2900        66.70              92.30              46.20              91.70              41.70             100.00              38.50              91.70              33.30  -
          10.74               2900        67.00              91.70              41.70              92.30              46.20              84.60              50.00              84.60              46.20  -
          10.86               2900        67.30              91.70              46.20              91.70              41.70              91.70              41.70              91.70              46.20  -
          10.98               2900        68.30              92.90              41.70              92.30              46.20              92.30              46.20              91.70              36.40  -
          11.11               2900        65.60              90.90              41.70              90.90              36.40              91.70              45.50              83.30              46.20  -
          11.23               2900        66.30              91.70              41.70              92.30              41.70              91.70              41.70              84.60              41.70  -
          11.35               2900         0.00              92.30              50.00             100.00              46.20              84.60              46.20              91.70              41.70  -
          11.48               2900        68.70              92.30              50.00              92.90              46.20              84.60              53.80              86.70              42.90  -
          11.61               2900        68.40              92.30              41.70              91.70              46.20              92.30              41.70              90.90              46.20  -
          11.74               2900        67.60              91.70              46.20              92.90              41.70              91.70              46.20              92.30              41.70  -
          11.86               2900         0.00              92.30              50.00              90.90              53.80              91.70              46.20              91.70              41.70  -
          11.98               2900         0.00              91.70              46.20              91.70              50.00              83.30              41.70              84.60              50.00  -
          12.10               2900         0.00              91.70              53.80              92.30              41.70              92.30              50.00              83.30              41.70  -
          12.23               2900         0.00              92.30              50.00              83.30              53.80              91.70              41.70             100.00              38.50  -
          12.35               2900         0.00              91.70              50.00              92.30              45.50              91.70              50.00              84.60              41.70  -
          12.48               2900         0.00              92.30              53.80              92.30              53.80              92.30              41.70              84.60              46.20  -
          12.60               2900        68.60             100.00              41.70             100.00              50.00              92.30              41.70              83.30              41.70  -
          12.72               2900        67.70              91.70              46.20              84.60              45.50              84.60              50.00              91.70              46.20  -
          12.85               2900        64.20              91.70              36.40              91.70              33.30              90.90              41.70              84.60              41.70  -
          12.97               2900         0.00              91.70              50.00              92.30              41.70             100.00              41.70              90.90              41.70  -
          13.09               2900         0.00              92.90              41.70             100.00              46.20              92.30              46.20              92.30              46.20  -
          13.21               2900         0.00              90.90              46.20              92.30              41.70              91.70              41.70              83.30              45.50  -
          13.34               2900         0.00              92.30              53.80              91.70              69.20              92.30              53.80              92.30              61.50  -
          13.47               2900         0.00              91.70              41.70              92.30              41.70              92.30              41.70              83.30              38.50  -
          13.59               2900         0.00              92.30              41.70              84.60              41.70              90.90              41.70              92.30              45.50  -
          13.71               2900        68.40              92.30              35.70              91.70              38.50              92.90              46.20              92.30              38.50  -
          13.84               2900        71.00              92.30              41.70              91.70              50.00              91.70              50.00              91.70              57.10  -
          13.96               2900        74.00              91.70              50.00              92.30              61.50              92.30              57.10              91.70              54.50  -
          14.08               2900        67.70              92.30              41.70              91.70              41.70              91.70              41.70              91.70              50.00  -
