  Elapsed (sec)  Event
---------------  -----------------
           0.33  -
           0.49  start train()
           0.61  epoch 0: train
           0.74  -
           0.86  -
           0.98  -
           1.10  -
           1.23  -
           1.36  -
           1.48  -
           1.60  -
           1.73  -
           1.87  -
           1.99  -
           2.12  -
           2.24  -
           2.37  -
           2.49  -
           2.61  -
           2.73  -
           2.86  -
           2.98  -
           3.10  -
           3.23  -
           3.38  -
           3.50  -
           3.63  -
           3.76  -
           3.88  -
           4.00  -
           4.12  -
           4.24  -
           4.36  -
           4.49  -
           4.61  -
           4.73  -
           4.86  -
           4.99  -
           5.11  -
           5.24  -
           5.36  -
           5.48  -
           5.61  -
           5.73  -
           5.85  -
           5.98  -
           6.11  -
           6.23  -
           6.35  -
           6.48  -
           6.60  -
           6.73  -
           6.85  -
           6.99  -
           7.12  -
           7.24  -
           7.36  -
           7.48  -
           7.61  -
           7.73  -
           7.85  -
           7.98  -
           8.10  -
           8.23  -
           8.35  -
           8.49  -
           8.61  -
           8.74  -
           8.86  -
           8.99  -
           9.12  -
           9.24  -
           9.36  -
           9.49  -
           9.61  -
           9.74  -
           9.86  -
           9.99  -
          10.12  -
          10.24  -
          10.36  -
          10.49  -
          10.62  -
          10.74  -
          10.86  -
          10.98  -
          11.11  -
          11.23  -
          11.35  -
          11.48  -
          11.61  -
          11.74  -
          11.86  -
          11.98  -
          12.10  -
          12.23  -
          12.35  -
          12.48  -
          12.60  -
          12.72  -
          12.85  -
          12.97  -
          13.09  -
          13.21  -
          13.34  -
          13.47  -
          13.59  -
          13.71  -
          13.84  -
          13.96  -
          14.08  -
          14.21  -
          14.34  -
          14.46  -
          14.59  -
          14.71  -
          14.84  -
          14.96  -
          15.09  -
          15.21  -
          15.34  -
          15.47  -
          15.60  -
          15.73  -
          15.86  -
          15.98  -
          16.11  -
          16.23  -
          16.35  -
          16.48  -
          16.61  -
          16.74  -
          16.87  -
          17.00  -
          17.13  -
          17.26  -
          17.40  -
          17.52  -
          17.65  -
          17.78  -
          17.91  -
          18.04  -
          18.17  -
          18.30  -
          18.43  -
          18.57  -
          18.69  -
          18.82  -
          18.94  -
          19.07  epoch 0: validate
          19.19  -
          19.32  -
          19.46  -
          19.60  -
          19.75  -
          19.88  -
          20.01  -
          20.16  -
          20.31  -
          20.43  epoch 1: train
          20.55  -
          20.68  -
          20.82  -
          20.94  -
          21.07  -
          21.19  -
          21.32  -
          21.45  -
          21.57  -
          21.70  -
          21.83  -
          21.96  -
          22.08  -
          22.21  -
          22.33  -
          22.45  -
          22.58  -
          22.71  -
          22.83  -
          22.96  -
          23.08  -
          23.22  -
          23.35  -
          23.48  -
          23.60  -
          23.73  -
          23.86  -
          23.99  -
          24.11  -
          24.24  -
          24.37  -
          24.50  -
          24.62  -
          24.75  -
          24.88  -
          25.00  -
          25.13  -
          25.25  -
          25.38  -
          25.51  -
          25.63  -
          25.76  -
          25.88  -
          26.01  -
          26.14  -
          26.26  -
          26.42  -
          26.55  -
          26.68  -
          26.82  -
          26.96  -
          27.09  -
          27.22  -
          27.35  -
          27.48  -
          27.61  -
          27.74  -
          27.87  -
          28.01  -
          28.14  -
          28.28  -
          28.42  -
          28.54  -
          28.68  -
          28.81  -
          28.97  -
          29.10  -
          29.23  -
          29.36  -
          29.49  -
          29.62  -
          29.77  -
          29.90  -
          30.02  -
          30.15  -
          30.28  -
          30.42  -
          30.55  -
          30.69  -
          30.81  -
          30.96  -
          31.09  -
          31.22  -
          31.35  -
          31.49  -
          31.64  -
          31.78  -
          31.91  -
          32.06  -
          32.20  -
          32.35  -
          32.49  -
          32.62  -
          32.75  -
          32.88  -
          33.01  -
          33.14  -
          33.26  -
          33.40  -
          33.53  -
          33.65  -
          33.78  -
          33.91  -
          34.04  -
          34.17  -
          34.31  -
          34.43  -
          34.56  -
          34.69  -
          34.82  -
          34.95  -
          35.07  -
          35.21  -
          35.34  -
          35.46  -
          35.59  -
          35.72  -
          35.84  -
          35.98  -
          36.10  -
          36.23  -
          36.36  -
          36.49  -
          36.62  -
          36.75  -
          36.89  -
          37.02  -
          37.15  -
          37.28  -
          37.41  -
          37.55  -
          37.68  -
          37.81  -
          37.95  -
          38.07  -
          38.21  -
          38.34  -
          38.47  -
          38.60  -
          38.73  -
          38.86  -
          38.98  -
          39.11  -
          39.24  -
          39.36  -
          39.49  -
          39.61  -
          39.74  -
          39.86  -
          40.00  -
          40.12  -
          40.25  -
          40.38  -
          40.51  -
          40.64  -
          40.77  -
          40.90  -
          41.03  -
          41.15  -
          41.28  -
          41.41  -
          41.53  -
          41.66  -
          41.79  -
          41.91  -
          42.05  -
          42.18  -
          42.32  -
          42.45  -
          42.58  -
          42.70  -
          42.83  -
          42.96  -
          43.08  epoch 1: validate
          43.20  -
          43.33  -
          43.50  -
          43.66  -
          43.78  -
          43.91  -
          44.03  -
          44.19  -
          44.33  -
          44.45  -
          44.58  start predict()
          44.70  -
          44.83  -
          44.95  -
          45.07  -
          45.20  -
          45.33  -
          45.45  -
          45.58  -
          45.71  -
          45.89  -
          46.04  -
          46.18  -
          46.33  -
          46.52  -
          46.64  -
