  Elapsed (sec)    PhysTotal (MB)    PhysAvail (MB)    PhysUsed (MB)    PhysPercent (%)    SwapTotal (MB)    SwapFree (MB)    SwapUsed (MB)    SwapPercent (%)  Event
---------------  ----------------  ----------------  ---------------  -----------------  ----------------  ---------------  ---------------  -----------------  -----------------
           0.33      16384.000000       7413.816406      7595.281250              54.70       3072.000000      1129.500000      1942.500000              63.20  -
           0.49      16384.000000       7413.316406      7595.554688              54.80       3072.000000      1129.500000      1942.500000              63.20  start train()
           0.61      16384.000000       7413.316406      7595.554688              54.80       3072.000000      1129.500000      1942.500000              63.20  epoch 0: train
           0.74      16384.000000       7413.316406      7595.554688              54.80       3072.000000      1129.500000      1942.500000              63.20  -
           0.86      16384.000000       7413.316406      7595.554688              54.80       3072.000000      1129.500000      1942.500000              63.20  -
           0.98      16384.000000       7298.972656      7709.257812              55.50       3072.000000      1129.500000      1942.500000              63.20  -
           1.10      16384.000000       7314.609375      7694.320312              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.23      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.36      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.48      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.60      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.73      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.87      16384.000000       7313.125000      7695.519531              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           1.99      16384.000000       7311.710938      7696.066406              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.12      16384.000000       7313.660156      7695.550781              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.24      16384.000000       7313.199219      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.37      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.49      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.61      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.73      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.86      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           2.98      16384.000000       7313.203125      7695.292969              55.40       3072.000000      1129.500000      1942.500000              63.20  -
           3.10      16384.000000       7311.292969      7696.875000              55.40       3072.000000      1129.500000      1942.500000              63.20  -
