  Elapsed (sec)    CPULoad (%)    NumThreads    MemoryRSS (MB)    MemoryVMS (MB)    MemoryPFAULTS (MB)    MemoryPAGEINS (MB)    MemoryUSS (MB)    MemoryPercent (%)    GPUMemory (MB)  Event
---------------  -------------  ------------  ----------------  ----------------  --------------------  --------------------  ----------------  -------------------  ----------------  -----------------
           0.33         200.60             6        148.250000       4994.597656              0.041414              0.000001        120.359375                 0.90          0.000000  -
           0.49         410.50             9        336.441406       5183.605469              0.132928              0.000001        261.246094                 2.05          0.000000  start train()
           0.61         314.60            10        386.652344       5371.281250              0.160419              0.000001        302.570312                 2.36          0.000000  epoch 0: train
           0.74         305.50            10        389.500000       5371.281250              0.175172              0.000001        305.394531                 2.38          0.000000  -
           0.86         338.20            10        389.554688       5371.531250              0.188007              0.000001        297.527344                 2.38          0.000000  -
           0.98         316.30            10        389.585938       5371.531250              0.199589              0.000001        298.957031                 2.38          0.000000  -
           1.10         307.10            10        389.625000       5371.531250              0.211267              0.000001        296.339844                 2.38          0.000000  -
           1.23         318.60            10        389.707031       5371.531250              0.225368              0.000001        296.343750                 2.38          0.000000  -
           1.36         297.00            10        389.734375       5371.531250              0.236463              0.000001        295.066406                 2.38          0.000000  -
           1.48         292.20            10        389.808594       5371.531250              0.248219              0.000001        296.546875                 2.38          0.000000  -
           1.60         282.30            10        389.808594       5371.531250              0.259228              0.000001        295.156250                 2.38          0.000000  -
           1.73         269.80            10        389.824219       5371.531250              0.270408              0.000001        296.535156                 2.38          0.000000  -
           1.87         320.80            10        389.855469       5371.531250              0.284371              0.000001        299.164062                 2.38          0.000000  -
           1.99         309.30            10        389.859375       5371.531250              0.297054              0.000001        296.503906                 2.38          0.000000  -
           2.12         314.40            10        389.859375       5371.531250              0.309319              0.000001        297.910156                 2.38          0.000000  -
           2.24         275.80            10        389.863281       5371.531250              0.319935              0.000001        299.253906                 2.38          0.000000  -
           2.37         315.10            10        389.929688       5371.531250              0.332837              0.000001        297.890625                 2.38          0.000000  -
           2.49         292.40            10        389.964844       5371.531250              0.345414              0.000001        295.855469                 2.38          0.000000  -
           2.61         303.20            10        389.964844       5371.531250              0.357626              0.000001        293.238281                 2.38          0.000000  -
