A100 8 GPUs batch size 2048/GPU,A100 8 GPUs batch size 256/GPU,A100 8 GPUs batch size 512/GPU,A100 8 GPUs batch size 1024/GPU
90.93,102.13,96.58,94.09
44.25,53.1,48.34,45.94
29.36,37,32.87,30.55
22.35,29.44,25.96,23.66
18.82,25.25,21.81,19.52
16.35,22.72,19.28,17.05
14.79,21.11,17.68,15.45
18.96,20.04,16.6,14.39
16.63,19.35,15.9,13.69
15.04,19.16,15.43,13.2
13.97,18.74,15.11,12.88
13.24,18.45,14.87,12.66
12.7,18.24,14.72,12.5
12.35,18.1,14.61,12.39
12.11,18.03,14.52,12.31
11.93,17.95,14.74,12.25
11.81,18.14,14.63,12.21
11.72,18.05,14.54,12.19
11.67,17.97,14.47,12.17
11.62,17.9,14.43,12.15
11.57,17.86,14.4,12.15
11.55,17.85,14.41,12.41
11.52,17.8,14.4,12.32
11.52,17.8,14.39,12.26
11.52,18.06,14.38,12.23
11.53,17.98,14.38,12.19
11.51,17.89,14.35,12.16
11.81,17.87,14.33,12.15
11.72,17.85,14.35,12.16
11.66,17.83,14.62,12.15
11.62,17.82,14.54,12.15
11.58,17.8,14.48,12.14
11.55,18.06,14.48,12.14
11.54,17.97,14.44,12.14
11.55,17.92,14.42,12.14
11.54,17.87,14.4,12.13
11.52,17.84,14.4,12.14
11.51,17.82,14.4,12.14
11.52,17.83,14.38,12.14
11.52,17.82,14.37,12.41
11.53,18.07,14.36,12.32
11.52,17.99,14.62,12.27
11.51,17.91,14.53,12.24
11.53,17.87,14.46,12.19
11.52,17.86,14.44,12.19
11.51,17.84,14.39,12.18
11.5,17.82,14.39,12.17
11.52,17.82,14.36,12.16
11.53,18.05,14.36,12.15
11.82,17.98,14.36,12.14
11.74,17.92,14.38,12.14
11.67,17.88,14.36,12.15
11.62,17.86,14.36,12.14
11.6,17.8,14.4,12.14
11.57,17.8,14.36,12.14
11.57,18.06,14.36,12.15
11.56,17.93,14.65,12.15
11.56,17.88,14.54,12.41
11.56,17.86,14.49,12.32
11.54,17.81,14.45,12.27
11.55,17.81,14.41,12.23
11.52,17.81,14.39,12.2
11.52,17.81,14.38,12.19
11.53,18.07,14.38,12.17
11.52,17.97,14.36,12.15
11.51,17.92,14.34,12.15
11.54,17.89,14.33,12.14
11.54,17.83,14.32,12.14
11.52,17.84,14.61,12.13
11.52,17.83,14.54,12.13
11.51,17.8,14.51,12.13
11.8,18.03,14.48,12.14
11.72,17.96,14.44,12.12
11.68,17.89,14.4,12.12
11.63,17.84,14.37,12.39
11.58,17.81,14.37,12.32
11.55,17.79,14.39,12.26
11.54,17.77,14.41,12.22
11.53,17.75,14.39,12.19
11.56,18.01,14.36,12.18
11.54,17.94,14.39,12.16
11.54,17.87,14.38,12.15
11.55,17.84,14.63,12.15
11.52,17.8,14.57,12.14
11.51,17.78,14.51,12.15
11.49,17.76,14.46,12.12
11.49,17.99,14.43,12.12
11.49,17.88,14.39,12.13
11.51,17.81,14.39,12.14
11.52,17.79,14.37,12.15
11.52,17.75,14.37,12.13
11.52,17.72,14.35,12.13
11.52,17.71,14.33,12.4
11.53,17.71,14.34,12.33
11.83,17.98,14.57,12.28
11.73,17.89,14.48,12.23
11.67,17.84,14.42,12.18
11.64,17.8,14.38,12.17
11.61,17.77,14.34,12.16
11.58,17.73,14.31,12.16
11.56,17.7,14.27,12.15
11.56,17.71,14.25,12.15
11.55,17.97,14.25,12.14
11.54,17.88,14.26,12.14
11.53,17.83,14.22,12.13
11.52,17.78,14.18,12.14
11.51,17.76,14.16,12.14
11.51,17.74,14.11,12.16
11.51,17.74,14.37,12.15
11.52,17.98,14.25,12.15
11.48,17.9,14.14,12.42
11.49,17.83,14.08,12.33
11.51,17.79,14.06,12.27
11.51,17.76,14.02,12.21
11.48,17.74,14.01,12.18
11.49,17.73,14.05,12.15
11.79,17.72,14.03,12.14
11.7,18,14,12.12
11.64,17.88,14,12.11
11.58,17.83,13.99,12.1
11.52,17.79,14.27,12.07
11.5,17.72,14.18,12.06
11.48,17.7,14.14,12.05
11.46,17.68,14.1,12.05
11.46,17.69,14.07,12.05
11.46,17.96,14.05,12.05
11.45,17.88,14.03,12.04
11.43,17.82,14,12.31
11.41,17.78,14.01,12.22
11.42,17.74,14.02,12.13
11.4,17.72,14.02,12.09
11.4,17.7,14.01,12.06
11.38,17.7,14.01,12.03
11.37,17.96,13.99,12
11.38,17.86,14.25,11.99
11.38,17.79,14.17,11.96
11.36,17.76,14.13,11.96
11.36,17.75,14.06,11.95
11.34,17.73,14.03,11.94
11.63,17.72,14.01,11.94
11.54,17.97,14,11.94
11.48,17.87,13.99,11.96
11.43,17.81,14,11.97
11.41,17.75,14,11.97
11.36,17.73,13.98,11.96
11.33,17.71,13.98,12.22
